alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Top_Itr,Bot_Itr
17.700,0.5195,0.19705,0.17605,-0.0216,0.1616,1.0000,53.1072,160.0000
17.800,0.5162,0.19669,0.17724,-0.0223,0.1599,1.0000,53.2210,160.0000
17.900,0.5157,0.19708,0.17860,-0.0228,0.1577,1.0000,53.3659,160.0000
18.000,0.5168,0.19785,0.18002,-0.0231,0.1555,1.0000,53.5131,160.0000
18.100,0.5192,0.19889,0.18147,-0.0234,0.1534,1.0000,53.6532,160.0000
18.200,0.5230,0.20032,0.18297,-0.0235,0.1515,1.0000,53.7824,160.0000
18.300,0.5298,0.20271,0.18467,-0.0234,0.1498,1.0000,53.8971,160.0000
18.400,0.5464,0.20918,0.18747,-0.0230,0.1484,1.0000,53.9920,160.0000
18.500,0.5429,0.20883,0.18862,-0.0236,0.1480,1.0000,54.0169,160.0000
18.600,0.5368,0.20740,0.18956,-0.0244,0.1476,1.0000,54.0465,160.0000
18.700,0.5323,0.20650,0.19072,-0.0252,0.1468,1.0000,54.0990,160.0000
18.800,0.5298,0.20628,0.19207,-0.0259,0.1456,1.0000,54.1866,160.0000
18.900,0.5293,0.20667,0.19354,-0.0265,0.1439,1.0000,54.2982,160.0000
19.000,0.5300,0.20739,0.19505,-0.0269,0.1422,1.0000,54.4141,160.0000
19.100,0.5314,0.20829,0.19657,-0.0273,0.1406,1.0000,54.5271,160.0000
19.200,0.5335,0.20932,0.19810,-0.0276,0.1390,1.0000,54.6376,160.0000
19.300,0.5364,0.21057,0.19964,-0.0279,0.1374,1.0000,54.7447,160.0000
19.400,0.5408,0.21230,0.20123,-0.0279,0.1359,1.0000,54.8473,160.0000
19.500,0.5493,0.21570,0.20314,-0.0277,0.1345,1.0000,54.9452,160.0000
19.600,0.5593,0.22057,0.20555,-0.0277,0.1336,1.0000,55.0077,160.0000
19.700,0.5534,0.21895,0.20655,-0.0285,0.1333,1.0000,55.0302,160.0000
19.800,0.5488,0.21781,0.20777,-0.0294,0.1327,1.0000,55.0691,160.0000
19.900,0.5459,0.21732,0.20919,-0.0302,0.1318,1.0000,55.1388,160.0000
20.000,0.5449,0.21750,0.21073,-0.0308,0.1303,1.0000,55.2433,160.0000
20.100,0.5453,0.21813,0.21231,-0.0314,0.1286,1.0000,55.3616,160.0000
20.200,0.5465,0.21899,0.21390,-0.0318,0.1270,1.0000,55.4778,160.0000
20.300,0.5483,0.21997,0.21549,-0.0322,0.1254,1.0000,55.5866,160.0000
20.400,0.5505,0.22109,0.21708,-0.0325,0.1240,1.0000,55.6860,160.0000
20.500,0.5533,0.22239,0.21867,-0.0328,0.1228,1.0000,55.7752,160.0000
20.600,0.5571,0.22407,0.22030,-0.0329,0.1216,1.0000,55.8572,160.0000
20.700,0.5630,0.22672,0.22209,-0.0329,0.1206,1.0000,55.9316,160.0000
